stem,source_format,stat_type,gov_org,cell,rule_id,n_tables,n_tables_pass,n_tables_fail,n_tables_abstain,file_state,c1_passed,c1_skipped
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-09,1,1,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-01,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-02,8,0,2,6,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-03,8,0,2,6,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-04,8,0,8,0,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-05,8,6,2,0,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-06,8,2,6,0,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-07,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-08,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-09,8,0,0,8,abstain,True,True
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-10,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-11,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-12,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L1-13,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L2-01,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L2-02,8,2,0,6,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L2-03,8,0,2,6,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L2-04,8,2,0,6,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L2-05,8,2,0,6,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L2-06,8,8,0,0,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-01,8,0,8,0,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-02,8,0,0,8,abstain,True,True
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-03,8,0,0,8,abstain,True,True
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-04,8,0,2,6,fail,False,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-05,8,2,0,6,pass,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-06,8,0,0,8,abstain,True,False
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-07,8,0,0,8,abstain,True,True
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-08,8,0,0,8,abstain,True,True
00100409_000003214753,xls,基幹統計,その他集約,基幹統計×その他集約,L3-09,8,0,2,6,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-01,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-02,5,0,1,4,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-03,5,1,1,3,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-04,5,0,5,0,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-05,5,4,1,0,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-06,5,0,5,0,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-07,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-08,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-09,5,0,0,5,abstain,True,True
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-10,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-11,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-12,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L1-13,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L2-01,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L2-02,5,0,1,4,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L2-03,5,0,1,4,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L2-04,5,0,0,5,abstain,True,True
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L2-05,5,0,0,5,abstain,True,True
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L2-06,5,5,0,0,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-01,5,0,5,0,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-02,5,0,0,5,abstain,True,True
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-03,5,0,0,5,abstain,True,True
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-04,5,0,1,4,fail,False,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-05,5,1,0,4,pass,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-06,5,0,0,5,abstain,True,False
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-07,5,0,0,5,abstain,True,True
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-08,5,0,0,5,abstain,True,True
00100409_000008573808,xlsx,基幹統計,その他集約,基幹統計×その他集約,L3-09,5,1,0,4,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-01,34,34,0,0,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-02,34,29,2,3,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-03,34,27,3,4,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-04,34,0,34,0,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-05,34,30,4,0,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-06,34,3,31,0,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-07,34,28,6,0,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-08,34,34,0,0,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-09,34,0,0,34,abstain,True,True
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-10,34,34,0,0,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-11,34,34,0,0,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-12,34,21,13,0,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L1-13,34,33,1,0,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L2-01,34,34,0,0,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L2-02,34,13,15,6,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L2-03,34,15,13,6,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L2-04,34,8,0,26,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L2-05,34,8,0,26,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L2-06,34,34,0,0,pass,True,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-01,34,0,34,0,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-02,34,0,0,34,abstain,True,True
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-03,34,0,0,34,abstain,True,True
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-04,34,6,22,6,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-05,34,27,1,6,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-06,34,0,3,31,fail,False,False
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-07,34,0,0,34,abstain,True,True
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-08,34,0,0,34,abstain,True,True
00130002_000010064742,xlsx,業務統計,その他集約,業務統計×その他集約,L3-09,34,28,0,6,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-01,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-02,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-03,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-04,1,0,1,0,fail,False,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-05,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-06,1,0,1,0,fail,False,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-07,1,0,1,0,fail,False,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-08,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-09,1,0,0,1,abstain,True,True
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-10,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-11,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-12,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L1-13,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L2-01,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L2-02,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L2-03,1,0,1,0,fail,False,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L2-04,1,0,0,1,abstain,True,True
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L2-05,1,0,0,1,abstain,True,True
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L2-06,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-01,1,0,1,0,fail,False,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-02,1,0,0,1,abstain,True,True
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-03,1,0,0,1,abstain,True,True
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-04,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-05,1,1,0,0,pass,True,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-06,1,0,1,0,fail,False,False
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-07,1,0,0,1,abstain,True,True
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-08,1,0,0,1,abstain,True,True
00130002_000010581135,xlsx,業務統計,その他集約,業務統計×その他集約,L3-09,1,1,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-01,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-02,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-03,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-04,8,1,7,0,fail,False,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-05,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-06,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-07,8,4,4,0,fail,False,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-08,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-09,8,0,0,8,abstain,True,True
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-10,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-11,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-12,8,1,7,0,fail,False,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L1-13,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L2-01,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L2-02,8,1,7,0,fail,False,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L2-03,8,1,7,0,fail,False,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L2-04,8,0,0,8,abstain,True,True
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L2-05,8,0,0,8,abstain,True,True
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L2-06,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-01,8,0,8,0,fail,False,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-02,8,0,0,8,abstain,True,True
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-03,8,0,0,8,abstain,True,True
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-04,8,1,7,0,fail,False,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-05,8,8,0,0,pass,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-06,8,0,0,8,abstain,True,False
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-07,8,0,0,8,abstain,True,True
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-08,8,0,0,8,abstain,True,True
00160011_000010358393,xlsx,一般統計,その他集約,一般統計×その他集約,L3-09,8,7,0,1,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-01,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-02,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-03,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-04,32,0,32,0,fail,False,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-05,32,0,32,0,fail,False,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-06,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-07,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-08,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-09,32,0,0,32,abstain,True,True
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-10,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-11,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-12,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L1-13,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L2-01,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L2-02,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L2-03,32,0,32,0,fail,False,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L2-04,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L2-05,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L2-06,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-01,32,0,32,0,fail,False,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-02,32,0,0,32,abstain,True,True
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-03,32,0,0,32,abstain,True,True
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-04,32,0,32,0,fail,False,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-05,32,32,0,0,pass,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-06,32,0,0,32,abstain,True,False
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-07,32,0,0,32,abstain,True,True
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-08,32,0,0,32,abstain,True,True
00190001_000010843139,xlsx,一般統計,その他集約,一般統計×その他集約,L3-09,32,32,0,0,pass,True,False
00200051_000010622544,xlsx,業務統計,総務省,業務統計×総務省,L1-01,10,10,0,0,pass,True,False
00200051_000010622544,xlsx,業務統計,総務省,業務統計×総務省,L1-02,10,0,1,9,fail,False,False
00200051_000010622544,xlsx,業務統計,総務省,業務統計×総務省,L1-03,10,9,1,0,fail,False,False
00200051_000010622544,xlsx,業務統計,総務省,業務統計×総務省,L1-04,10,0,10,0,fail,False,False
00200051_000010622544,xlsx,業務統計,総務省,業務統計×総務省,L1-05,10,0,10,0,fail,False,False
00200051_000010622544,xlsx,業務統計,総務省,業務統計×総務省,L1-06,10,10,0,0,pass,True,False
